"Average of U.S. metro areas of 1,000,000 to 2,499,999","Detroit-Warren-Livonia, MI Metro Area","Austin-Round Rock-San Marcos, TX Metro Area","Birmingham-Hoover, AL Metro Area","Buffalo-Niagara Falls, NY Metro Area","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area","Cincinnati-Middletown, OH-KY-IN Metro Area","Cleveland-Elyria-Mentor, OH Metro Area","Columbus, OH Metro Area","Hartford-West Hartford-East Hartford, CT Metro Area","Indianapolis-Carmel, IN Metro Area","Jacksonville, FL Metro Area","Kansas City, MO-KS Metro Area","Las Vegas-Paradise, NV Metro Area","Louisville/Jefferson County, KY-IN Metro Area","Memphis, TN-MS-AR Metro Area","Milwaukee-Waukesha-West Allis, WI Metro Area","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","New Orleans-Metairie-Kenner, LA Metro Area","Oklahoma City, OK Metro Area","Orlando-Kissimmee-Sanford, FL Metro Area","Pittsburgh, PA Metro Area","Portland-Vancouver-Hillsboro, OR-WA Metro Area","Providence-New Bedford-Fall River, RI-MA Metro Area","Raleigh-Cary, NC Metro Area","Richmond, VA Metro Area","Rochester, NY Metro Area","Sacramento--Arden-Arcade--Roseville, CA Metro Area","Salt Lake City, UT Metro Area","San Antonio-New Braunfels, TX Metro Area","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
7617.565076,"6,963.3",5856.8694,3215.321464,8249.325522,6203.945077,10610.52252,3584.999963,2724.124767,13341.36338,4840.120861,9239.622803,4326.503614,8677.006283,5952.130497,4492.09336,13686.24842,2726.655504,6727.87318,5749.238286,5231.13384,12658.27971,16662.84145,11828.7515,4776.879022,7097.48131,7567.193971,8402.68766,8628.862292,7316.046436,18152.83019,
7171.743986,"6,690.9",11480.35194,4455.970793,9761.777505,3350.559859,8120.45832,6344.994816,6929.709516,12326.02979,5279.90452,3896.550857,4101.726278,7868.071402,6173.530864,3603.422444,15143.555,4933.521124,10426.17245,3862.151445,3570.92068,7381.05901,8396.125786,13797.84825,4768.361705,7958.237768,9729.446006,6416.28842,7045.783692,5612.063434,10584.62778,1833.098125
6358.022609,"6,230.0",6086.211335,3212.113447,9199.833816,3369.291049,5999.466277,6401.503157,10200.72691,7235.649745,4000.979412,3835.159143,5810.421785,8094.275127,4560.779654,4526.201796,14615.78512,4543.181586,7614.133131,4610.994381,4209.887743,9714.032355,8028.314279,8379.989529,3708.542071,6301.810525,7866.501359,5021.287988,6243.730814,6283.330899,11066.54384,
5343.116084,"5,902.5",4598.604103,2814.659177,6756.486863,2654.261181,4388.448226,7881.693025,6758.808463,3168.941917,3995.686417,3417.189402,5162.975236,9066.956049,4991.307973,3843.667113,10709.50485,2692.096477,5210.658921,4305.062367,4982.087031,8170.876405,7064.840874,6302.382366,2866.496656,2842.618809,3903.960148,5641.320587,6181.334309,6127.995007,9861.508877,3931.053687
5115.068848,"7,279.9",4214.395692,2766.466456,8895.897484,3224.371711,4417.259036,8746.837967,4657.774603,2892.560108,3949.740402,3301.850844,3970.494609,9069.798495,4169.026492,2584.986809,7507.460809,2829.399512,5887.370233,3953.482272,6086.706438,6977.206811,5813.575785,7304.101953,2062.468887,2849.936688,3343.218151,6529.45586,5013.289392,4895.897016,10175.13354,5361.901379
4602.608547,"6,346.6",4908.577462,2537.523087,7400.717328,3377.186458,4204.161044,7240.436243,4054.422057,1662.736897,3598.285031,3551.258875,3093.616513,8350.071304,3440.316041,3578.164291,6124.590898,2802.937526,4507.920457,3809.524854,4768.182207,5093.594908,5405.633929,4758.903118,2944.263056,2568.830778,2680.86338,4939.706324,6493.308131,4715.343146,9216.243254,6250.937815
4126.995371,"6,626.8",4402.053422,1615.396791,4547.564614,3178.546077,3493.307512,6529.828488,4332.952158,2548.067799,3005.264335,2657.774111,2980.936414,6986.760471,3410.920333,3780.729275,6099.254875,2496.533181,5719.585639,3689.231096,3919.843851,4155.903158,5028.304842,2138.752032,2599.973659,2500.976277,2760.735077,6869.497236,4985.102134,3825.966868,8630.227537,4919.871865
3752.65582,"6,583.4",4412.93665,1917.990766,3729.396569,3317.75091,3345.565665,5691.947617,4055.833504,3051.307106,3033.192234,2662.393362,2870.550544,5694.29413,3592.473893,3151.573422,3944.809877,2738.521574,4453.557367,3366.394914,3676.828694,2528.63863,5229.500454,2251.639101,2445.757726,1981.333021,1618.306563,6304.855078,4919.757084,3889.862325,7641.082565,5061.62326
3440.628038,"6,496.6",2741.446926,1487.383407,2793.700482,2267.795331,2881.257713,5045.799638,3116.420979,5257.952128,3184.345625,2218.51766,3031.567441,5724.734929,2711.454039,2335.011558,3031.787728,2864.28571,4274.698934,3713.726297,3070.593767,2587.17587,5504.20078,1800.365338,2601.843743,2078.07177,1768.827176,4959.539436,5102.349434,5375.600221,6925.578603,2762.808472
3237.578573,"6,228.1",2842.153919,1952.073747,3195.460192,1920.353856,3009.683699,4179.689616,3975.746215,2599.645369,2946.640525,2442.627212,2348.430654,6098.160166,2483.271326,3015.793476,2660.455505,2325.78924,4007.761524,2431.558626,2760.938849,2455.132987,5088.480875,1861.120716,1817.300929,3073.864841,1490.614707,5642.62762,5450.108112,3501.016017,5662.369868,3888.486815
3156.019165,"5,729.1",2216.203823,2018.394228,2846.022028,1953.548576,2556.804731,3651.337601,2864.720491,1205.276715,2505.531579,2704.950428,2988.332461,5152.184234,2720.340494,3337.53535,2270.614365,2698.594206,5836.784335,2767.628133,3392.764557,2575.016785,4173.976207,3219.212604,1630.094704,2034.318813,1081.517525,5803.646269,5353.079594,4337.064323,5232.275064,3552.804739
2868.697059,"5,268.2",2308.689346,1461.036959,1769.441519,1933.02913,1762.862478,3003.536079,2643.05637,2365.475377,1479.621368,2462.565789,2315.030725,6077.5511,2530.755493,2515.560655,1650.276146,2113.536154,4769.431954,1951.779715,2203.974485,2094.543541,3741.181314,1786.796608,2127.259471,1895.854874,744.2406247,5987.771141,5039.076982,4009.945079,7452.602604,3864.428703
2808.234186,"5,175.6",3525.250106,1393.825863,1104.158457,1552.01575,1783.590145,2976.701869,2650.109994,1505.327481,1761.322807,1795.71512,2253.875515,4749.453168,2197.921639,3204.115927,1154.732508,1538.222995,5790.448471,3153.108785,2382.088176,1235.235481,3243.133704,2841.376607,1538.565173,1835.631708,551.8354224,5420.000733,2903.046772,5170.941816,10060.2423,2975.031092
2494.28782,"4,327.8",2904.252111,816.1297423,1989.036088,1393.389248,1863.753294,2525.078149,1692.039022,1803.992788,1261.566897,2570.281456,2377.245335,3719.112853,1992.46043,3218.437351,1325.854727,1010.22853,1023.3813,2354.140195,2147.038361,1273.965367,4266.421821,4528.536721,1483.920179,1679.13962,261.5512808,5463.891413,4403.231751,3307.670221,4943.099381,5229.788977
2084.524697,"4,423.6",1556.244969,604.9518459,1785.476057,1148.364076,1386.476593,2233.000457,1496.98111,1786.383302,1417.159348,1593.940882,1875.508513,4606.817176,663.4269054,2889.641994,1426.998384,685.9141128,105.143,723.3790514,2878.008147,900.1747619,2320.780166,1677.10892,743.230386,1145.336457,371.2334211,5031.710871,3181.875831,2289.312442,7875.358825,6135.802906
2148.087996,"3,952.7",1821.131362,503.5442361,805.7974496,1175.59067,1591.721143,2465.276361,676.9654849,1622.047395,1606.259329,2290.355236,2598.648376,3642.70815,488.6394254,2243.670884,3404.169553,1565.31542,388.8803144,904.6404743,3246.714529,2149.930852,1274.225226,6258.629652,777.9208997,1219.309332,462.919656,4885.861116,2650.42504,2150.848404,5345.1378,4225.356119
